门派,心法,奇穴位置,奇穴名,奇穴描述,技能ID,纵向位置
少林,洗髓经,1,南无·悟,{罗汉棍法}伤害提高20%。,101786,1
少林,洗髓经,1,乐音·悟,受到的内功伤害降低10%。,101787,2
少林,洗髓经,2,众法·悟,施展【傍身招式】时将自身体质的15%转换为阳性内功攻击力，持续10秒。,101788,1
少林,洗髓经,2,持戒·悟,气血上限提高20%。,101789,2
少林,洗髓经,3,娑罗·悟,{禅灵}造成的伤害提高20%，生成禅灵时回复自身6%气血值。,101790,1
少林,洗髓经,3,轮回·悟,被击杀后救治自身并使自身恢复15%气血最大值，起身后4秒内受到的伤害降低80%，该效果每300秒可触发一次。,101791,2
少林,洗髓经,4,醍醐灌顶·悟,对敌方造成伤害。每生成过1个{禅灵}造成的伤害提高20%，最多提高100%。生成过5个{禅灵}后施展时追加一段横扫攻击且技能期间无敌。,101775,1
少林,洗髓经,4,舍身弘法·悟,为队友和自身添加增益。,101776,2
少林,易筋经,5,如来·悟,{罗汉棍法}伤害提高20%。,101780,1
少林,易筋经,5,佛陀·悟,{龙爪功}会心几率提高25%。,101781,2
少林,易筋经,6,刹那·悟,对{眩晕}或{击倒}目标造成的伤害提高20%。,101782,1
少林,易筋经,6,无垢·悟,【傍身招式】会心后额外降低【绝技招式】和【捕风式·悟】1秒调息时间。,101783,2
少林,易筋经,7,法界·悟,{禅灵}造成的伤害提高30%，生成禅灵时回复自身1%气血值。,101784,1
少林,易筋经,7,罗网·悟,金刚日轮阵每2秒造成一次伤害，自身在金刚日轮阵内时受到的伤害降低30%且每秒回复3%最大气血值。,101785,2
少林,易筋经,8,醍醐灌顶·悟,对敌方造成伤害。每生成过1个{禅灵}造成的伤害提高20%，最多提高100%。生成过5个{禅灵}后施展时追加一段横扫攻击且技能期间无敌。,101762,1
少林,易筋经,8,金刚日轮阵·悟,对敌方造成伤害，重置{龙爪功}调息时间并产生1个持续10秒10尺范围的金刚日轮阵，在阵内施展{龙爪功}招式会附带额外效果。,101763,2
万花,花间游,1,归兮·悟,施展【傍身招式】后使自身移速提高15%、受到的伤害降低15%，持续8秒。,100487,1
万花,花间游,1,陶然·悟,施展【傍身招式】后使自身无双和造成的伤害提高10%，持续8秒。,100488,2
万花,花间游,2,忘机·悟,{兰摧}伤害提高30%，【玉石俱焚·悟】对非侠士目标伤害提高50%。,100489,1
万花,花间游,2,夕落·悟,【玉石俱焚·悟】伤害提高30%，{兰摧}立即生效后使目标被疗伤效果降低50%，持续5秒。,100490,2
万花,花间游,3,渡泉·悟,施展伤害招式命中气血值低于50%的目标自身会心率和会心效果提高15%，持续10秒。,100491,1
万花,花间游,3,常心·悟,施展【太阴指·悟】后免疫控制持续3秒，受到的伤害降低30%持续8秒。,100492,2
万花,花间游,4,水月无间·悟,10秒内下一个运功招式无需运功且必定会心。,100050,1
万花,花间游,4,乱洒青荷·悟,重置【玉石俱焚·悟】调息时间，15秒内下一个【傍身招式】附带{兰摧}效果。,100051,2
万花,离经易道,9,文锋·悟,运功招式运功时间降低0.25秒。,100577,1
万花,离经易道,9,隐形·悟,施展运功招式运功结束时获得【内舍】气劲，每层使疗伤效果提高5%，持续15秒，最多叠加3层。,100578,2
万花,离经易道,10,济世·悟,自身持续治疗的疗伤效果提高30%。,100579,1
万花,离经易道,10,玄针·悟,【傍身招式】命中目标添加1层{毫针}，最多叠加3层。,100580,2
万花,离经易道,11,云间·悟,施展【傍身招式】获得1层【清疏】，施展【对阵招式】获得3层【清疏】，5层时为自身10尺范围内小队成员恢复气血值。\n疗伤：30%治疗量,100581,1
万花,离经易道,11,灵脉·悟,施展【太阴指·悟】后，使自身免疫控制，持续3秒。,100582,2
万花,离经易道,12,大针·悟,"消耗自身当前30%气血值,使友方玩家回复5%最大气血值，随后使其当前和最大气血值同时提高120%，每秒回复最大气血值的3%，持续6秒。",100121,1
万花,离经易道,12,折叶笼花·悟,为友方玩家添加{笼花}效果，正常结束回复目标5%最大气血值，可提前结束使目标免于重伤并回复10%最大气血值，{笼花}持续12秒。,100122,2
天策,傲血战意,5,啸如虎·悟,·施展【突·悟】使自身3秒内受到的伤害降低35%。\n·自身气血值低于1%时被治疗效果提高20%且{不死}，持续8秒，该效果每120秒触发一次。,100522,1
天策,傲血战意,5,骠骑·悟,【龙牙·悟】伤害提高50%。,100523,2
天策,傲血战意,6,行健·悟,【任驰骋·悟】调息时间降低5秒，施展【任驰骋·悟】上马获得6层{行健·悟}。,100524,1
天策,傲血战意,6,骁武·悟,非骑乘状态下连续命中时，使自身伤害提高4%，受到的伤害降低2%，可叠加5次，持续4秒。,100525,2
天策,傲血战意,7,勇毅·悟,所有招式对{眩晕}或{击倒}状态下目标伤害提高20%。,100526,1
天策,傲血战意,7," 南征·悟",{流血}效果最大叠加层数提高至3层，作用间隔缩短0.25秒。,100527,2
天策,傲血战意,8,力破万钧·悟,仅马下可施展，对前方造成伤害，对气血值低于50%的敌方伤害提高60%。,100035,1
天策,傲血战意,8,破重围·悟,骑马时方可施展，将前方目标{击入僵直}并造成伤害，使其{轻功沉默}，对被{击倒}的目标伤害提高50%。,100036,2
天策,铁牢律,5,啸如虎·悟,自身气血值低于1%时自动触发，使自身被治疗效果提高20%且{不死}，持续10秒，该效果每120秒触发一次。,100569,1
天策,铁牢律,5,铁甲·悟,【御·悟】施展后1秒内成功抵挡伤害，使自身伤害提高20%，持续15秒。,100570,2
天策,铁牢律,6,破胆·悟,【沧月·悟】、【战八方·悟】威胁值提高10%。,100571,1
天策,铁牢律,6,战锋·悟,·自身外功防御等级提高20%。\n·【龙吟·悟】奇卷使目标受到的伤害增加效果提高至4%。\n·【龙牙·悟】奇卷使目标伤害降低效果提高至10%。,100572,2
天策,铁牢律,7,枕戈·悟,强迫目标攻击自身时，自身御劲值提高10%，持续4秒。,100573,1
天策,铁牢律,7,护九州·悟,施展【突·悟】、【御·悟】后，自身每秒回复1%气血值，持续5秒。,100574,2
天策,铁牢律,8,力破万钧·悟,仅马下可施展，对前方造成伤害，对气血值低于50%的敌方伤害提高60%。,100430,1
天策,铁牢律,8,号令三军·悟,使团队成员回复10%最大气血值，并获得增益，持续50秒，可叠加3层。,100431,2
纯阳,太虚剑意,5,致柔·悟,对被{定身}、{锁足}、{眩晕}的敌方造成的伤害提高20%。,100447,1
纯阳,太虚剑意,5,周行·悟,产生{气场}后自身伤害提高10%，无双提高10%，持续6秒。,100448,2
纯阳,太虚剑意,6,神灵·悟,每引爆1个{气场}获得2把{气剑}。,100449,1
纯阳,太虚剑意,6,玄牝·悟,任意{气场}触地时对范围内的敌方添加2层{叠刃}。,100450,2
纯阳,太虚剑意,7,固强·悟,{气剑}命中自身气场范围内的敌方将为其添加1层{叠刃}。,100451,1
纯阳,太虚剑意,7,无隅·悟,{叠刃}剩余伤害立即生效后，降低2秒【气场招式】的调息时间。,100452,2
纯阳,太虚剑意,8,行剑千风·悟,冲至目标区域对敌方造成伤害，最后一击可使自身添加的{叠刃}剩余伤害立即生效。,100015,1
纯阳,太虚剑意,8,乾坤剑来·悟,落下{乾坤剑阵}，触地时汇聚半径10尺内自身所有{气场}并将敌方持续拉拽至剑阵中心。,101602,2
纯阳,紫霞功,9,道冲·悟,对被{定身}、{锁足}、{眩晕}的敌方造成的伤害提高20%。,100556,1
纯阳,紫霞功,9,持盈·悟,开始运功后自身伤害提高15%，持续3秒。,100557,2
纯阳,紫霞功,10,不恃·悟,{飞剑}伤害提高20%。,100558,1
